Name,Note,Discount,Price,Rating,Release,Ends,Started
The Jackbox Party Pack 7,,-40%,$17.99,92.82%,Oct 2020,in 3 days,4 days ago
Viewfinder,,-65%,$8.74,91.59%,Jul 2023,in 14 days,9 hours ago
The Farmer Was Replaced,2-year low: $6.99,-20%,$7.99,91.47%,Oct 2025,in 11 days,4 days ago
Streets of Rage 4,,-65%,$8.74,90.49%,Apr 2020,in 3 days,4 days ago
Red Dead Redemption,all-time low: $29.99 at -40%,-41%,$44.18,89.75%,Oct 2024,in 7 days,5 days ago
Pumpkin Jack,new historical low,-91%,$2.69,88.58%,Oct 2020,in 12 days,2 days ago
Stronghold Crusader: Definitive Edition,,-20%,$15.99,87.61%,Jul 2025,in 7 days,9 hours ago
Riders Republic,all-time low: $3.99 at -90%,-75%,$9.99,80.67%,Jun 2023,in 7 days,5 days ago
Wild Assault,new historical low,-40%,$8.99,71.80%,Apr 2025,in 6 days,yesterday
Senren Banka,,-43%,$19.94,96.62%,Feb 2020,in 15 hours,14 days ago
Spirit City: Lofi Sessions,,-40%,$7.19,96.50%,Apr 2024,in 7 days,14 days ago
